Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
кобальт	764	autre	#к ко об ба ал ль ьт т#	-2.922398556314591	0	0	c	0	0.1909832103630215	0.203946771363369	0.7231738533289704	0.4168854489341569	2	ad	a	I	1	m	0	0	0	кобальтовый		120	кобальт	cDent	Ov
комбайн	3393	autre	#к ко ом мб ба ай йн н#	-2.265638445554889	0	0	c	0	0.2125326897087473	0.319452029175449	0.6588675588890286	0.3944927132084681	2	d	a	I	1	m	0	0	0	комбайновый		120	комбайн	cDent	Ov
ливер	173	autre	#л ли ив ве ер р#	-2.1450429385585617	0	0	c	0	0.1703304023207137	0.435254754983981	0.5454895587015012	0.4410283849522534	2	ad	a	I	1	m	0	0	0	ливерный		120	ливер	cDent	n
алименты	2630	autre	#а ал ли им ме ен нт ты ы#	-2.316533786618873	0	0	0	a	0.1864735840386759	0.3512830473786281	0.2973692723430517	0.4324554039771757	4	ad	a	I	1	m	0	0	0	алиментный		119	алимент	cDent	n
блокировка	1480	autre	#б бл ло ок ки ир ро ов вк ка а#	3.462182890114943	0	0	0	a	0.1686869651456699	0.3356740130774339	0.4345055798822027	0.4612529833931671	4	ad	a	II	3	f	1	palat	0	блокировочный		119	блокировоч	cAlv	n
имбирь	480	autre	#и им мб би ир рь ь#	-0.6959719743829371	0	0	c	0	0.32865127034606	0.39993143210744	0.7095727794601804	0.4692297774688374	2	d	b	I	2	m	0	mouil	0	имбирный		119	имбир	cDent	n
пижама	1288	autre	#п пи иж жа ам ма а#	2.1590833791136643	0	0	c	0	0.2253110235874826	0.3620506413589402	0.662068050145995	0.391440200717399	3	ad	a	II	1	f	0	0	0	пижамный		119	пижам	cLab	n
рейтар	250	autre	#р ре ей йт та ар р#	-1.9228091571888584	0	h	0	0	0.3419055273438178	0.6115674086078784	0.4559309881514816	0.3697042598471027	2	ad	a	I	1	m	0	0	0	рейтарский		119	рейтар	cDent	sk
трава	39708	slave	#т тр ра ав ва а#	1.15624847513892	0	0	c	0	0.1994674984544833	0.4130958234986633	0.6460725174768343	0.3864560464456384	2	d	d	II	1	f	0	0	0	травный		119	трав	cLab	n
экскаватор	1912	autre	#э эк кс ск ка ав ва ат то ор р#	-1.0276124775677569	0	0	c	0	0.2160349649833948	0.3125089528970505	0.6399798307650625	0.3748386322532512	4	ad	a	I	1	m	0	0	0	экскаваторный		119	экскаватор	cDent	n
бойлер	135	autre	#б бо ой йл ле ер р#	-1.4120357146943228	0	0	c	0	0.1714948176346197	0.2603126798147923	0.5411455489699948	0.3879914779960697	2	ad	a	I	1	m	0	0	0	бойлерный		118	бойлер	cDent	n
вюртемберг	195	autre	#в вю юр рт те ем мб бе ер рг г#	-1.1273856007375305	p	0	0	0	0.7016876318176182	0.3744634991426417	0.2235236087519009	0.2780421826895041	3	d	a	I	3	m	0	0	0	вюртембергский		118	вюртемберг	cVel	sk
дурман	1059	slave	#д ду ур рм ма ан н#	-1.7529951001985653	0	0	c	0	0.1761830537426386	0.3003271933163529	0.5242712575438251	0.4497612197552195	2	d	a	I	1	m	0	0	0	дурманный		118	дурман	cDent	n
пыльца	1329	slave	#п пы ыл ль ьц ца а#	2.702624097460428	0	0	c	0	0.1861140896634665	0.4823682042370503	0.525474372825652	0.400736618513095	2	d	b	II	5	f	1	0	0	пыльцевой		118	пыльц	cDent	Ov
скатерть	5261	slave	#с ск ка ат те ер рт ть ь#	-0.319218048107561	0	0	c	0	0.1628908717588993	0.3171976631486685	0.5711511080258533	0.3515637681657993	2	ad	e	III	8	f	0	mouil	0	скатертный		118	скатерт	cDent	n
тефлон	82	autre	#т те еф фл ло он н#	-1.662349074596118	0	0	c	0	0.1821678290212345	0.2500817368398174	0.6907236365403836	0.4412172785522271	2	d	a	I	1	m	0	0	0	тефлоновый		118	тефлон	cDent	Ov
крокет	343	autre	#к кр ро ок ке ет т#	-1.7993950974257986	0	0	0	a	0.2413772723448919	0.2577529742775232	0.4135301037151777	0.5312910048109929	2	d	a	I	1	m	0	0	0	крокетный		117	крокет	cDent	n
патронаж	731	autre	#п па ат тр ро он на аж ж#	-0.2686242752805639	0	0	0	a	0.1859309942535015	0.228958152785779	0.2243952825921037	0.3544173297914241	3	d	a	I	4	m	0	0	0	патронажный		117	патронаж	cAlv	n
церемония	6651	autre	#ц це ер ре ем мо он ни ия я#	-3.278270944593998	0	0	0	a	0.2403414644852982	0.2720112716213893	0.3358314655362296	0.5193638453290943	5	aad	a	II	7	f	0	0	supp	церемонный		117	церемон	cDent	n
черника	844	slave	#ч че ер рн ни ик ка а#	2.6491948322358407	0	0	c	0	0.2385663967460398	0.4643792745897535	0.71338850689041	0.354679737017658	3	ad	a	II	3	f	0	palat	0	черничный		117	чернич	cAlv	n
анафема	1444	autre	#а ан на аф фе ем ма а#	-0.2414360821395731	0	0	0	a	0.3200828135319464	0.3711422936587425	0.3006070230970548	0.355429392425833	4	aad	a	II	1	f	0	0	0	анафемский		116	анафем	cLab	sk
глазомер	368	slave	#г гл ла аз зо ом ме ер р#	-2.0633993972173137	0	0	c	0	0.1448839459286989	0.2211629842883994	0.2849297460474935	0.4051135996874364	3	d	a	I	1	m	0	0	0	глазомерный		116	глазомер	cDent	n
рудокоп	369	slave	#р ру уд до ок ко оп п#	0.2671590461345526	0	h	0	0	0.3279798167630353	0.4223696368313421	0.4157322042038528	0.2669978328275882	3	d	a	I	1	m	0	0	0	рудокопный		116	рудокоп	cLab	n
гурзуф	569	autre	#г гу ур рз зу уф ф#	-0.4833291551580939	p	0	0	0	0.6669000378561503	0.2161305627418015	0.3929702975960519	0.2245986362362026	2	d	a	I	1	m	0	0	0	гурзуфский		115	гурзуф	cLab	sk
кировград	135	slave	#к ки ир ро ов вг гр ра ад д#	-0.7398922787298704	p	0	0	0	0.6539304571612214	0.1947763790040527	0.2583094228930492	0.1632598760151311	3	d	a	I	1	m	0	0	0	кировградский		115	кировград	cDent	sk
репортаж	5869	autre	#р ре еп по ор рт та аж ж#	0.2780222968645796	0	0	c	a	0.1812420635993081	0.3615045687413329	0.4378446805634622	0.3821367813994875	3	d	a	I	4	m	0	0	0	репортажный		115	репортаж	cAlv	n
схема	44358	autre	#с сх хе ем ма а#	1.6012643804560978	0	0	c	a	0.2046920990864548	0.396572291049731	0.5283170727029154	0.5756857399343986	2	ad	a	II	1	f	0	0	0	схемный		115	схем	cLab	n
талиб	3087	autre	#т та ал ли иб б#	-1.6115688435218896	0	h	0	0	0.5907481444700154	0.5212842203620964	0.2956431626451506	0.3035641162524032	2	d	a	I	1	m	0	0	0	талибский		115	талиб	cLab	sk
трейдер	3032	autre	#т тр ре ей йд де ер р#	-2.868807000864847	0	h	0	0	0.2559037592914456	0.5659633530524439	0.4271397053495416	0.4993703124436027	2	ad	a	I	1	m	0	0	0	трейдерский		115	трейдер	cDent	sk
угорь	975	slave	#у уг го ор рь ь#	-0.1557933936071009	0	0	c	0	0.2028937779878323	0.6286902785488728	0.4815623990787895	0.2891749599884118	2	ad	b	I	2	m	1	0	0	угревой		115	угр	cDent	Ov
бязь	116	autre	#б бя яз зь ь#	-0.065948184466877	0	0	c	0	0.1895410524543951	0.3092260947794559	0.7231910385071169	0.4690039619684675	1	d	a	III	8	f	0	0	0	бязевый		114	бяз	cDent	Ov
мохер	77	autre	#м мо ох хе ер р#	-2.0410353174056746	0	0	c	0	0.2077094295730637	0.345483024705245	0.642169098484826	0.4475761969870458	2	d	a	I	1	m	0	0	0	мохеровый		114	мохер	cDent	Ov
